Found 16418 images belonging to 120 classes.
Found 4162 images belonging to 120 classes.
Epoch 1/10
513/513 [==============================] - 7640s 15s/step - loss: 1.5588 - accuracy: 0.5751 - val_loss: 0.1583 - val_accuracy: 0.7591
Epoch 2/10
513/513 [==============================] - 7926s 15s/step - loss: 0.8200 - accuracy: 0.7461 - val_loss: 1.4712 - val_accuracy: 0.7695
Epoch 3/10
513/513 [==============================] - 7749s 15s/step - loss: 0.6747 - accuracy: 0.7905 - val_loss: 0.7954 - val_accuracy: 0.8010
Epoch 4/10
513/513 [==============================] - 7741s 15s/step - loss: 0.5819 - accuracy: 0.8170 - val_loss: 0.4821 - val_accuracy: 0.8056
Epoch 5/10
513/513 [==============================] - 7756s 15s/step - loss: 0.5389 - accuracy: 0.8302 - val_loss: 1.2093 - val_accuracy: 0.7978
Epoch 6/10
513/513 [==============================] - 7440s 15s/step - loss: 0.5077 - accuracy: 0.8398 - val_loss: 1.0098 - val_accuracy: 0.7978
Epoch 7/10
513/513 [==============================] - 7853s 15s/step - loss: 0.4388 - accuracy: 0.8587 - val_loss: 1.2073 - val_accuracy: 0.8019
Epoch 8/10
513/513 [==============================] - 7878s 15s/step - loss: 0.3880 - accuracy: 0.8720 - val_loss: 0.7735 - val_accuracy: 0.8019
Epoch 9/10
513/513 [==============================] - 7912s 15s/step - loss: 0.3570 - accuracy: 0.8798 - val_loss: 1.9094 - val_accuracy: 0.8029
Epoch 10/10
513/513 [==============================] - 7860s 15s/step - loss: 0.3644 - accuracy: 0.8834 - val_loss: 0.3149 - val_accuracy: 0.7927
[[9.99999285e-01 1.24713218e-09 1.21711235e-11 ... 7.27220645e-11
  1.69219196e-12 6.47285231e-13]
 [9.99998331e-01 1.70468917e-11 3.36489413e-11 ... 1.03902797e-09
  5.34060296e-12 8.06163209e-12]
 [9.99997973e-01 6.05199710e-11 5.46886668e-12 ... 1.47345905e-12
  4.67895139e-14 3.54222213e-13]
 ...
 [1.21333855e-04 1.86441484e-05 7.03612750e-05 ... 6.04617118e-04
  2.08352518e-04 1.49834098e-03]
 [1.11407443e-08 4.67927705e-08 1.48926593e-10 ... 1.21531045e-07
  5.04938498e-07 9.99904275e-01]
 [4.22374917e-08 4.28145128e-08 1.86213059e-11 ... 9.51777546e-10
  8.13209681e-07 9.99977112e-01]]
[  0   0   0 ...  31 119 119]
Classification Report
              precision    recall  f1-score   support

           0       0.72      0.84      0.78        31
           1       0.92      0.89      0.90        37
           2       0.89      0.92      0.90        51
           3       0.88      0.93      0.90        30
           4       0.92      0.56      0.70        43
           5       0.81      1.00      0.89        38
           6       1.00      0.93      0.96        40
           7       0.69      0.71      0.70        35
           8       0.80      0.69      0.74        35
           9       1.00      0.83      0.91        48
          10       0.94      0.89      0.91        35
          11       0.73      0.85      0.79        39
          12       0.80      0.95      0.87        38
          13       0.83      0.97      0.89        35
          14       0.67      0.88      0.76        32
          15       0.75      0.29      0.42        31
          16       0.48      0.94      0.64        32
          17       0.76      0.53      0.63        30
          18       0.95      0.65      0.77        31
          19       0.82      0.61      0.70        44
          20       0.96      0.59      0.73        37
          21       0.93      0.37      0.53        38
          22       0.93      0.74      0.82        38
          23       0.97      0.90      0.94        40
          24       0.48      0.94      0.64        31
          25       0.90      0.95      0.93        40
          26       0.80      0.79      0.80        47
          27       0.93      0.84      0.89        32
          28       0.45      0.94      0.60        31
          29       0.33      0.06      0.10        33
          30       0.97      0.84      0.90        37
          31       0.82      0.94      0.88        35
          32       1.00      0.67      0.80        36
          33       0.78      0.91      0.84        34
          34       0.69      0.83      0.75        35
          35       0.94      0.78      0.85        37
          36       0.77      0.70      0.73        33
          37       0.84      0.66      0.74        32
          38       0.68      0.70      0.69        40
          39       0.71      0.98      0.82        41
          40       0.97      0.71      0.82        41
          41       0.69      1.00      0.82        40
          42       0.78      0.88      0.82        40
          43       0.91      0.86      0.89        36
          44       0.90      1.00      0.95        37
          45       0.89      0.52      0.65        31
          46       1.00      0.28      0.44        32
          47       0.43      0.87      0.57        31
          48       0.93      0.81      0.87        32
          49       0.85      0.79      0.81        42
          50       0.72      0.78      0.75        37
          51       0.77      0.84      0.81        32
          52       0.69      1.00      0.82        34
          53       0.58      0.76      0.66        38
          54       0.76      0.90      0.82        31
          55       0.91      0.94      0.92        31
          56       0.77      0.80      0.79        30
          57       0.96      0.71      0.82        35
          58       1.00      0.65      0.79        34
          59       0.96      0.71      0.81        31
          60       0.84      0.87      0.86        31
          61       0.66      0.88      0.75        33
          62       0.72      1.00      0.84        31
          63       0.94      0.94      0.94        31
          64       0.81      0.68      0.74        31
          65       0.86      1.00      0.92        30
          66       0.77      0.94      0.85        32
          67       0.77      1.00      0.87        30
